ScenarioID,ScenarioDescription,RequiredTrait,AgeRange,ChoiceID,ChoiceDescription,RequiredTrait,QuizID,OutcomeID,OutcomeDescription,Impact,ResultTrait
SC034,"You’re staring at a long list of subjects, each promising knowledge, enlightenment, and possibly eternal student debt. Which field of study speaks to your soul (or at least confuses you the least)?","None","AGE11",SC034C14,"Take on Computer Science, where you'll break things just to learn how to fix them.","T011, T013","QZ014",,,
SC034,"You’re staring at a long list of subjects, each promising knowledge, enlightenment, and possibly eternal student debt. Which field of study speaks to your soul (or at least confuses you the least)?","None","AGE11",SC034C15,"Explore Media Studies, where dissecting memes counts as academic research.","T010, T014","QZ015",,,
SC034,"You’re staring at a long list of subjects, each promising knowledge, enlightenment, and possibly eternal student debt. Which field of study speaks to your soul (or at least confuses you the least)?","None","AGE11",SC034C16,"Enlist in the chaos of Arts, where creativity meets deadlines and your deepest thoughts are now due next Tuesday.","T006, T015","QZ016",,,
SC034,"You’re staring at a long list of subjects, each promising knowledge, enlightenment, and possibly eternal student debt. Which field of study speaks to your soul (or at least confuses you the least)?","None","AGE11",SC034C17,"Join Writing, where your greatest skill will be rewriting the same sentence ten times and still hating it.","T008, T016","QZ017",,,
SC034,"You’re staring at a long list of subjects, each promising knowledge, enlightenment, and possibly eternal student debt. Which field of study speaks to your soul (or at least confuses you the least)?","None","AGE11",SC034C18,"Go for Sociology to decode society's mysteries, question norms, and debate why people can't leave each other alone.","T009, T012","QZ018",,,
SC034,"You’re staring at a long list of subjects, each promising knowledge, enlightenment, and possibly eternal student debt. Which field of study speaks to your soul (or at least confuses you the least)?","None","AGE11",SC034C19,"Become a freelancer, where 'self-employed' sounds better than 'permanently exhausted.'","None","QZ019",,,
SC034,"You’re staring at a long list of subjects, each promising knowledge, enlightenment, and possibly eternal student debt. Which field of study speaks to your soul (or at least confuses you the least)?","None","AGE11",SC034C20,"Inherit your family's company, because why struggle with choices when nepotism is a valid strategy?","T001","QZ020",,,
SC034,"You’re staring at a long list of subjects, each promising knowledge, enlightenment, and possibly eternal student debt. Which field of study speaks to your soul (or at least confuses you the least)?","None","AGE11",SC034C21,"Go hands-on with Agriculture, where plants don't care about your sleep schedule, only the sun.","T002","QZ021",,,
SC034,"You’re staring at a long list of subjects, each promising knowledge, enlightenment, and possibly eternal student debt. Which field of study speaks to your soul (or at least confuses you the least)?","None","AGE11",SC034C22,"Master Pedagogy, where you learn how to teach, and students learn how to ignore you.","T003","QZ022",,,
SC034,"You’re staring at a long list of subjects, each promising knowledge, enlightenment, and possibly eternal student debt. Which field of study speaks to your soul (or at least confuses you the least)?","None","AGE11",SC034C23,"Learn how to create with your hands, from woodworking to metalwork. No Wi-Fi required.","T004","QZ023",,,
SC035,"You’ve decided to finally start eating healthy. It’s time to make responsible food choices… or at least pretend to.","None","AGE12",SC035C1,"Buy all the ingredients for a perfect meal… and then order takeout anyway.","None","None",SC035C2O1,"You justify it as 'meal prep'—for the future, not today. Your fridge is now a graveyard of forgotten vegetables.","I9","None"
SC035,"You’ve decided to finally start eating healthy. It’s time to make responsible food choices… or at least pretend to.","None","AGE12",SC035C1,"Buy all the ingredients for a perfect meal… and then order takeout anyway.","None","None",SC035C2O2,"You feel a brief pang of guilt but quickly distract yourself with delicious, greasy satisfaction.","I2","None"
SC035,"You’ve decided to finally start eating healthy. It’s time to make responsible food choices… or at least pretend to.","None","AGE12",SC035C2,"Commit fully by meal-prepping a week’s worth of salads. You are unstoppable.","None","None",SC035C3O3,"You feel smugly superior for a solid 24 hours before the cravings kick in.","I11","None"
SC035,"You’ve decided to finally start eating healthy. It’s time to make responsible food choices… or at least pretend to.","None","AGE12",SC035C2,"Commit fully by meal-prepping a week’s worth of salads. You are unstoppable.","None","None",SC035C3O4,"By mid-week, you’re stress-eating snacks straight out of the pantry. So much for willpower.","I5","None"
SC035,"You’ve decided to finally start eating healthy. It’s time to make responsible food choices… or at least pretend to.","None","AGE12",SC035C3,"Try to convince yourself that pizza counts as a 'balanced meal' because of the tomatoes and cheese.","None","None",SC035C4O5,"You fully believe this logic, and honestly, no one can stop you.","I7","None"
SC035,"You’ve decided to finally start eating healthy. It’s time to make responsible food choices… or at least pretend to.","None","AGE12",SC035C3,"Try to convince yourself that pizza counts as a 'balanced meal' because of the tomatoes and cheese.","None","None",SC035C4O6,"A nutritionist somewhere just felt a deep, unexplainable sadness.","I13","None"
SC035,"You’ve decided to finally start eating healthy. It’s time to make responsible food choices… or at least pretend to.","None","AGE12",SC035C4,"Give up immediately and accept that life is too short for food guilt.","None","None",SC035C5O7,"You achieve a zen-like state of bliss. Healthy? No. Happy? Absolutely.","I4","None"
SC035,"You’ve decided to finally start eating healthy. It’s time to make responsible food choices… or at least pretend to.","None","AGE12",SC035C4,"Give up immediately and accept that life is too short for food guilt.","None","None",SC035C5O8,"Your attempt at self-acceptance is interrupted by your body reminding you that fast food has consequences.","I12","None"
SC036,"Your alarm blares at an ungodly hour. You promised yourself you’d wake up early to be productive. Now it’s time to make a choice.","None","AGE12",SC036C1,"Immediately hit snooze and hope your responsibilities disappear.","None","None",SC036C2O1,"You wake up an hour later, slightly panicked but ultimately accepting your fate.","I3","None"
SC036,"Your alarm blares at an ungodly hour. You promised yourself you’d wake up early to be productive. Now it’s time to make a choice.","None","AGE12",SC036C1,"Immediately hit snooze and hope your responsibilities disappear.","None","None",SC036C2O2,"You snooze so many times that your alarm just gives up on you.","I10","None"
SC036,"Your alarm blares at an ungodly hour. You promised yourself you’d wake up early to be productive. Now it’s time to make a choice.","None","AGE12",SC036C2,"Get up and start the day like a responsible adult… sort of.","None","None",SC036C3O3,"You spend an hour drinking coffee and staring into the void before actually doing anything.","I6","None"
SC036,"Your alarm blares at an ungodly hour. You promised yourself you’d wake up early to be productive. Now it’s time to make a choice.","None","AGE12",SC036C2,"Get up and start the day like a responsible adult… sort of.","None","None",SC036C3O4,"You’re weirdly productive for the first 15 minutes, then get distracted and end up deep in a Wikipedia rabbit hole.","I8","None"
SC036,"Your alarm blares at an ungodly hour. You promised yourself you’d wake up early to be productive. Now it’s time to make a choice.","None","AGE12",SC036C3,"Convince yourself that five more minutes won’t hurt. It will.","None","None",SC036C4O5,"Five minutes turns into fifty. Time is an illusion, and you are its victim.","I1","None"
SC036,"Your alarm blares at an ungodly hour. You promised yourself you’d wake up early to be productive. Now it’s time to make a choice.","None","AGE12",SC036C3,"Convince yourself that five more minutes won’t hurt. It will.","None","None",SC036C4O6,"You jolt awake at the last second and rush out the door in a chaotic blur.","I14","None"
SC036,"Your alarm blares at an ungodly hour. You promised yourself you’d wake up early to be productive. Now it’s time to make a choice.","None","AGE12",SC036C4,"Heroically resist sleep and start the day with boundless optimism.","None","None",SC036C5O7,"You accomplish three tasks before noon and feel unstoppable—for now.","I5","None"
SC036,"Your alarm blares at an ungodly hour. You promised yourself you’d wake up early to be productive. Now it’s time to make a choice.","None","AGE12",SC036C4,"Heroically resist sleep and start the day with boundless optimism.","None","None",SC036C5O8,"Your energy crashes by lunchtime, and suddenly, napping seems like the best idea ever.","I9","None"
SC037,"You walk into the grocery store with a carefully planned list. Five minutes in, you’re already considering abandoning it for impulse purchases. What do you do?","None","AGE12",SC037C1,"Stick to the list like a disciplined financial guru.","None","None",SC037C2O1,"You feel a sense of control… until you remember you forgot the most important thing.","I4","None"
SC037,"You walk into the grocery store with a carefully planned list. Five minutes in, you’re already considering abandoning it for impulse purchases. What do you do?","None","AGE12",SC037C1,"Stick to the list like a disciplined financial guru.","None","None",SC037C2O2,"You check out smugly, only to realize at home that you grabbed the wrong type of milk.","I11","None"
SC037,"You walk into the grocery store with a carefully planned list. Five minutes in, you’re already considering abandoning it for impulse purchases. What do you do?","None","AGE12",SC037C2,"Toss random things into the cart and hope future-you figures it out.","None","None",SC037C3O3,"You leave with 10 bags of chips, 3 sauces, and absolutely nothing for dinner.","I2","None"
SC037,"You walk into the grocery store with a carefully planned list. Five minutes in, you’re already considering abandoning it for impulse purchases. What do you do?","None","AGE12",SC037C2,"Toss random things into the cart and hope future-you figures it out.","None","None",SC037C3O4,"You convince yourself it was self-care, but your wallet disagrees.","I12","None"
SC037,"You walk into the grocery store with a carefully planned list. Five minutes in, you’re already considering abandoning it for impulse purchases. What do you do?","None","AGE12",SC037C3,"Stand in the aisle overthinking every purchase like it’s life or death.","None","None",SC037C4O5,"An employee asks if you need help. You panic and buy the first thing you see.","I7","None"
SC037,"You walk into the grocery store with a carefully planned list. Five minutes in, you’re already considering abandoning it for impulse purchases. What do you do?","None","AGE12",SC037C3,"Stand in the aisle overthinking every purchase like it’s life or death.","None","None",SC037C4O6,"You leave the store exhausted, having spent 45 minutes deciding between two brands of pasta.","I13","None"
SC037,"You walk into the grocery store with a carefully planned list. Five minutes in, you’re already considering abandoning it for impulse purchases. What do you do?","None","AGE12",SC037C4,"Get distracted and somehow end up in the furniture section.","None","None",SC037C5O7,"You don’t need a new lamp, but suddenly you can’t live without it.","I9","None"
SC037,"You walk into the grocery store with a carefully planned list. Five minutes in, you’re already considering abandoning it for impulse purchases. What do you do?","None","AGE12",SC037C4,"Get distracted and somehow end up in the furniture section.","None","None",SC037C5O8,"You regain focus just in time and leave with only mild financial damage.","I6","None"
SC038,"Your laundry pile is growing into a sentient being. It’s now or never. How do you tackle this challenge?","None","AGE12",SC038C1,"Do it immediately like a responsible adult.","None","None",SC038C2O1,"You feel accomplished, but now you have to fold everything. The horror.","I8","None"
SC038,"Your laundry pile is growing into a sentient being. It’s now or never. How do you tackle this challenge?","None","AGE12",SC038C1,"Do it immediately like a responsible adult.","None","None",SC038C2O2,"You finish like a champ… only to realize you mixed whites and colors.","I1","None"
SC038,"Your laundry pile is growing into a sentient being. It’s now or never. How do you tackle this challenge?","None","AGE12",SC038C2,"Convince yourself you can wear that shirt one more time.","None","None",SC038C3O3,"No one notices. Victory.","I3","None"
SC038,"Your laundry pile is growing into a sentient being. It’s now or never. How do you tackle this challenge?","None","AGE12",SC038C2,"Convince yourself you can wear that shirt one more time.","None","None",SC038C3O4,"Someone *does* notice. Shame.","I14","None"
SC038,"Your laundry pile is growing into a sentient being. It’s now or never. How do you tackle this challenge?","None","AGE12",SC038C3,"Dump the entire pile in the washer, sorting be damned.","None","None",SC038C4O5,"Your once-white socks now have a stylish pink hue.","I5","None"
SC038,"Your laundry pile is growing into a sentient being. It’s now or never. How do you tackle this challenge?","None","AGE12",SC038C3,"Dump the entire pile in the washer, sorting be damned.","None","None",SC038C4O6,"Everything somehow survives, and you feel like you’ve beaten the system.","I10","None"
SC038,"Your laundry pile is growing into a sentient being. It’s now or never. How do you tackle this challenge?","None","AGE12",SC038C4,"Ignore it entirely and hope for the best.","None","None",SC038C5O7,"You dig through the pile and find something 'wearable' at the last minute.","I7","None"
SC038,"Your laundry pile is growing into a sentient being. It’s now or never. How do you tackle this challenge?","None","AGE12",SC038C4,"Ignore it entirely and hope for the best.","None","None",SC038C5O8,"The pile collapses. It has won.","I2","None"
SC039,"You’ve been invited to a social gathering, but now that the day has arrived, the couch is calling your name. How do you handle this crisis?","None","AGE12",SC039C1,"Go enthusiastically, pretending you’re an extrovert.","None","None",SC039C2O1,"You have fun despite yourself. Maybe people aren’t so bad after all.","I3","None"
SC039,"You’ve been invited to a social gathering, but now that the day has arrived, the couch is calling your name. How do you handle this crisis?","None","AGE12",SC039C1,"Go enthusiastically, pretending you’re an extrovert.","None","None",SC039C2O2,"You overcompensate and now you’re known as ‘the energetic one.’","I10","None"
SC039,"You’ve been invited to a social gathering, but now that the day has arrived, the couch is calling your name. How do you handle this crisis?","None","AGE12",SC039C2,"Text ‘On my way!’ while still in pajamas.","None","None",SC039C3O3,"You panic, throw on clothes, and actually go.","I5","None"
SC039,"You’ve been invited to a social gathering, but now that the day has arrived, the couch is calling your name. How do you handle this crisis?","None","AGE12",SC039C2,"Text ‘On my way!’ while still in pajamas.","None","None",SC039C3O4,"You never leave and later claim ‘something came up.’","I12","None"
SC039,"You’ve been invited to a social gathering, but now that the day has arrived, the couch is calling your name. How do you handle this crisis?","None","AGE12",SC039C3,"Go, but spend the entire time thinking about when you can leave.","None","None",SC039C4O5,"You execute the Irish exit flawlessly. No one even noticed.","I7","None"
SC039,"You’ve been invited to a social gathering, but now that the day has arrived, the couch is calling your name. How do you handle this crisis?","None","AGE12",SC039C3,"Go, but spend the entire time thinking about when you can leave.","None","None",SC039C4O6,"You get stuck in an awkward conversation and can’t escape.","I14","None"
SC039,"You’ve been invited to a social gathering, but now that the day has arrived, the couch is calling your name. How do you handle this crisis?","None","AGE12",SC039C4,"Fake a very convincing excuse and stay home guilt-free.","None","None",SC039C5O7,"You enjoy your peaceful night, but now you have to maintain the lie.","I1","None"
SC039,"You’ve been invited to a social gathering, but now that the day has arrived, the couch is calling your name. How do you handle this crisis?","None","AGE12",SC039C4,"Fake a very convincing excuse and stay home guilt-free.","None","None",SC039C5O8,"You feel a twinge of FOMO, but then remember you love solitude.","I9","None"
SC040,"You decide to try cooking a ‘simple’ recipe you found online. Halfway through, you realize you’re in over your head. What’s the plan?","None","AGE12",SC040C1,"Power through and follow the recipe exactly.","None","None",SC040C2O1,"The result is edible. Barely.","I2","None"
SC040,"You decide to try cooking a ‘simple’ recipe you found online. Halfway through, you realize you’re in over your head. What’s the plan?","None","AGE12",SC040C1,"Power through and follow the recipe exactly.","None","None",SC040C2O2,"You accidentally invent a new dish. It’s… unique.","I11","None"
SC040,"You decide to try cooking a ‘simple’ recipe you found online. Halfway through, you realize you’re in over your head. What’s the plan?","None","AGE12",SC040C2,"Start improvising like a ‘natural chef.’","None","None",SC040C3O3,"It tastes amazing. You feel unstoppable.","I4","None"
SC040,"You decide to try cooking a ‘simple’ recipe you found online. Halfway through, you realize you’re in over your head. What’s the plan?","None","AGE12",SC040C2,"Start improvising like a ‘natural chef.’","None","None",SC040C3O4,"It tastes like regret. You never speak of this again.","I8","None"
SC040,"You decide to try cooking a ‘simple’ recipe you found online. Halfway through, you realize you’re in over your head. What’s the plan?","None","AGE12",SC040C3,"Give up and order takeout.","None","None",SC040C4O5,"You feel no shame. Some battles aren’t worth fighting.","I13","None"
SC040,"You decide to try cooking a ‘simple’ recipe you found online. Halfway through, you realize you’re in over your head. What’s the plan?","None","AGE12",SC040C3,"Give up and order takeout.","None","None",SC040C4O6,"Your food arrives late, and now you're starving and angry.","I6","None"
SC040,"You decide to try cooking a ‘simple’ recipe you found online. Halfway through, you realize you’re in over your head. What’s the plan?","None","AGE12",SC040C4,"Summon a friend or family member for ‘supervision.’","None","None",SC040C5O7,"They take over, and you get a free meal.","I1","None"
SC040,"You decide to try cooking a ‘simple’ recipe you found online. Halfway through, you realize you’re in over your head. What’s the plan?","None","AGE12",SC040C4,"Summon a friend or family member for ‘supervision.’","None","None",SC040C5O8,"Now you have to explain why you don’t know how to chop an onion.","I10","None"
SC041,"You open your phone to buy ‘just one thing’ online. An hour later, you’re still scrolling. What happens next?","None","AGE12",SC041C1,"Stick to the original plan and check out immediately.","None","None",SC041C2O1,"You feel responsible, but deep down, you wanted chaos.","I5","None"
SC041,"You open your phone to buy ‘just one thing’ online. An hour later, you’re still scrolling. What happens next?","None","AGE12",SC041C1,"Stick to the original plan and check out immediately.","None","None",SC041C2O2,"You realize you forgot something and have to start over.","I9","None"
SC041,"You open your phone to buy ‘just one thing’ online. An hour later, you’re still scrolling. What happens next?","None","AGE12",SC041C2,"Add 20 things to your cart, then panic and buy nothing.","None","None",SC041C3O3,"You convince yourself you saved money by spending nothing.","I3","None"
SC041,"You open your phone to buy ‘just one thing’ online. An hour later, you’re still scrolling. What happens next?","None","AGE12",SC041C2,"Add 20 things to your cart, then panic and buy nothing.","None","None",SC041C3O4,"You wake up at 2 AM and buy everything anyway.","I12","None"
SC041,"You open your phone to buy ‘just one thing’ online. An hour later, you’re still scrolling. What happens next?","None","AGE12",SC041C3,"Buy everything and let future-you deal with the consequences.","None","None",SC041C4O5,"A package arrives every day for a week. It’s like Christmas.","I7","None"
SC041,"You open your phone to buy ‘just one thing’ online. An hour later, you’re still scrolling. What happens next?","None","AGE12",SC041C3,"Buy everything and let future-you deal with the consequences.","None","None",SC041C4O6,"You forget what you ordered and now have three of the same item.","I14","None"
SC041,"You open your phone to buy ‘just one thing’ online. An hour later, you’re still scrolling. What happens next?","None","AGE12",SC041C4,"Get distracted and end up researching something completely unrelated.","None","None",SC041C5O7,"You know way too much about 18th-century shipbuilding now.","I6","None"
SC041,"You open your phone to buy ‘just one thing’ online. An hour later, you’re still scrolling. What happens next?","None","AGE12",SC041C4,"Get distracted and end up researching something completely unrelated.","None","None",SC041C5O8,"You close the tab, having bought nothing and learned too much.","I2","None"
SC042,"You finally decide to hit the gym after months of procrastination. But now that you’re here, a wave of existential dread sets in. What’s the move?","None","AGE12",SC042C1,"Do a light workout and call it a success.","None","None",SC042C2O1,"You leave feeling smug about your ‘fitness journey.’","I3","None"
SC042,"You finally decide to hit the gym after months of procrastination. But now that you’re here, a wave of existential dread sets in. What’s the move?","None","AGE12",SC042C1,"Do a light workout and call it a success.","None","None",SC042C2O2,"You barely break a sweat, but hey, you showed up.","I8","None"
SC042,"You finally decide to hit the gym after months of procrastination. But now that you’re here, a wave of existential dread sets in. What’s the move?","None","AGE12",SC042C2,"Go way too hard and regret everything immediately.","None","None",SC042C3O3,"You can’t walk the next day, but at least you tried.","I11","None"
SC042,"You finally decide to hit the gym after months of procrastination. But now that you’re here, a wave of existential dread sets in. What’s the move?","None","AGE12",SC042C2,"Go way too hard and regret everything immediately.","None","None",SC042C3O4,"You realize too late that lifting without a warm-up was a mistake.","I6","None"
SC042,"You finally decide to hit the gym after months of procrastination. But now that you’re here, a wave of existential dread sets in. What’s the move?","None","AGE12",SC042C3,"Spend most of the time ‘researching’ workouts on your phone.","None","None",SC042C4O5,"You learn a lot but accomplish nothing.","I2","None"
SC042,"You finally decide to hit the gym after months of procrastination. But now that you’re here, a wave of existential dread sets in. What’s the move?","None","AGE12",SC042C3,"Spend most of the time ‘researching’ workouts on your phone.","None","None",SC042C4O6,"You leave with zero gains but a full YouTube watchlist.","I10","None"
SC042,"You finally decide to hit the gym after months of procrastination. But now that you’re here, a wave of existential dread sets in. What’s the move?","None","AGE12",SC042C4,"Walk in, feel intimidated, and leave immediately.","None","None",SC042C5O7,"You tell yourself you’ll ‘start tomorrow.’","I5","None"
SC042,"You finally decide to hit the gym after months of procrastination. But now that you’re here, a wave of existential dread sets in. What’s the move?","None","AGE12",SC042C4,"Walk in, feel intimidated, and leave immediately.","None","None",SC042C5O8,"You sit in your car for 10 minutes before driving away in shame.","I14","None"
SC043,"Your inbox has 347 unread emails, and the mere thought of dealing with them is overwhelming. What’s your strategy?","None","AGE12",SC043C1,"Power through and clear everything in one sitting.","None","None",SC043C2O1,"You achieve inbox zero and feel unstoppable.","I7","None"
SC043,"Your inbox has 347 unread emails, and the mere thought of dealing with them is overwhelming. What’s your strategy?","None","AGE12",SC043C1,"Power through and clear everything in one sitting.","None","None",SC043C2O2,"You accidentally delete something important and now live in fear.","I12","None"
SC043,"Your inbox has 347 unread emails, and the mere thought of dealing with them is overwhelming. What’s your strategy?","None","AGE12",SC043C2,"Mark everything as ‘read’ and pretend it’s fine.","None","None",SC043C3O3,"The number is gone, but the guilt remains.","I9","None"
SC043,"Your inbox has 347 unread emails, and the mere thought of dealing with them is overwhelming. What’s your strategy?","None","AGE12",SC043C2,"Mark everything as ‘read’ and pretend it’s fine.","None","None",SC043C3O4,"You later miss an important email and regret everything.","I4","None"
SC043,"Your inbox has 347 unread emails, and the mere thought of dealing with them is overwhelming. What’s your strategy?","None","AGE12",SC043C3,"Flag some emails and tell yourself you’ll handle them ‘later.’","None","None",SC043C4O5,"‘Later’ never comes, and the unread count just grows.","I3","None"
SC043,"Your inbox has 347 unread emails, and the mere thought of dealing with them is overwhelming. What’s your strategy?","None","AGE12",SC043C3,"Flag some emails and tell yourself you’ll handle them ‘later.’","None","None",SC043C4O6,"You remember an urgent email… two weeks too late.","I11","None"
SC043,"Your inbox has 347 unread emails, and the mere thought of dealing with them is overwhelming. What’s your strategy?","None","AGE12",SC043C4,"Close your email app and pretend it doesn’t exist.","None","None",SC043C5O7,"Your inbox becomes a digital wasteland.","I2","None"
SC043,"Your inbox has 347 unread emails, and the mere thought of dealing with them is overwhelming. What’s your strategy?","None","AGE12",SC043C4,"Close your email app and pretend it doesn’t exist.","None","None",SC043C5O8,"You get an ‘Are you alive?’ message from your boss.","I14","None"
SC044,"You lie down for a ‘quick 15-minute nap.’ We all know where this is going. What happens next?","None","AGE12",SC044C1,"Actually wake up after 15 minutes like a responsible adult.","None","None",SC044C2O1,"You feel refreshed. This must be what discipline feels like.","I5","None"
SC044,"You lie down for a ‘quick 15-minute nap.’ We all know where this is going. What happens next?","None","AGE12",SC044C1,"Actually wake up after 15 minutes like a responsible adult.","None","None",SC044C2O2,"You wake up confused and unsure if you slept at all.","I10","None"
SC044,"You lie down for a ‘quick 15-minute nap.’ We all know where this is going. What happens next?","None","AGE12",SC044C2,"Sleep for three hours and wake up disoriented.","None","None",SC044C3O3,"It’s dark outside, and you have no idea what year it is.","I13","None"
SC044,"You lie down for a ‘quick 15-minute nap.’ We all know where this is going. What happens next?","None","AGE12",SC044C2,"Sleep for three hours and wake up disoriented.","None","None",SC044C3O4,"Now you’re too awake to sleep at night. The cycle continues.","I7","None"
SC044,"You lie down for a ‘quick 15-minute nap.’ We all know where this is going. What happens next?","None","AGE12",SC044C3,"Accidentally sleep for eight hours.","None","None",SC044C4O5,"You’ve effectively restarted your day at 2 AM.","I6","None"
SC044,"You lie down for a ‘quick 15-minute nap.’ We all know where this is going. What happens next?","None","AGE12",SC044C3,"Accidentally sleep for eight hours.","None","None",SC044C4O6,"Congratulations, you’ve invented time travel—straight to tomorrow.","I9","None"
SC044,"You lie down for a ‘quick 15-minute nap.’ We all know where this is going. What happens next?","None","AGE12",SC044C4,"Nap so hard you wake up in an existential crisis.","None","None",SC044C5O7,"You wake up feeling like you missed a scheduled event. You didn’t.","I1","None"
SC044,"You lie down for a ‘quick 15-minute nap.’ We all know where this is going. What happens next?","None","AGE12",SC044C4,"Nap so hard you wake up in an existential crisis.","None","None",SC044C5O8,"You dreamt of an entire alternate life and now feel weirdly sad.","I12","None"
SC045,"You agreed to go to a social event weeks ago, but now it’s today, and you regret everything. What’s the plan?","None","AGE12",SC045C1,"Show up and actually try to have fun.","None","None",SC045C2O1,"Shockingly, you don’t hate it. Maybe people aren’t so bad?","I6","None"
SC045,"You agreed to go to a social event weeks ago, but now it’s today, and you regret everything. What’s the plan?","None","AGE12",SC045C1,"Show up and actually try to have fun.","None","None",SC045C2O2,"You smile through it, but secretly wish you were home.","I12","None"
SC045,"You agreed to go to a social event weeks ago, but now it’s today, and you regret everything. What’s the plan?","None","AGE12",SC045C2,"Come up with a last-minute excuse to bail.","None","None",SC045C3O3,"Your excuse is so good, even you start believing it.","I9","None"
SC045,"You agreed to go to a social event weeks ago, but now it’s today, and you regret everything. What’s the plan?","None","AGE12",SC045C2,"Come up with a last-minute excuse to bail.","None","None",SC045C3O4,"They see right through you, but let you off the hook anyway.","I3","None"
SC045,"You agreed to go to a social event weeks ago, but now it’s today, and you regret everything. What’s the plan?","None","AGE12",SC045C3,"Go, but spend the entire time on your phone.","None","None",SC045C4O5,"You become one with the furniture, completely unnoticed.","I1","None"
SC045,"You agreed to go to a social event weeks ago, but now it’s today, and you regret everything. What’s the plan?","None","AGE12",SC045C3,"Go, but spend the entire time on your phone.","None","None",SC045C4O6,"Someone tries to talk to you, and now you have to socialize.","I14","None"
SC045,"You agreed to go to a social event weeks ago, but now it’s today, and you regret everything. What’s the plan?","None","AGE12",SC045C4,"Make a dramatic entrance, then leave after 30 minutes.","None","None",SC045C5O7,"You leave early, but at least people will remember you.","I8","None"
SC045,"You agreed to go to a social event weeks ago, but now it’s today, and you regret everything. What’s the plan?","None","AGE12",SC045C4,"Make a dramatic entrance, then leave after 30 minutes.","None","None",SC045C5O8,"Your exit is so subtle, no one notices you were ever there.","I5","None"
SC046,"You confidently walk into the grocery store without a list. Five minutes later, you’re lost in the aisles. What now?","None","AGE12",SC046C1,"Stick to your mental list and power through.","None","None",SC046C2O1,"You forget the most important item but convince yourself it’s fine.","I11","None"
SC046,"You confidently walk into the grocery store without a list. Five minutes later, you’re lost in the aisles. What now?","None","AGE12",SC046C1,"Stick to your mental list and power through.","None","None",SC046C2O2,"You actually remember everything, a rare victory.","I7","None"
SC046,"You confidently walk into the grocery store without a list. Five minutes later, you’re lost in the aisles. What now?","None","AGE12",SC046C2,"Panic and buy random things.","None","None",SC046C3O3,"Now you own six different types of cheese for some reason.","I4","None"
SC046,"You confidently walk into the grocery store without a list. Five minutes later, you’re lost in the aisles. What now?","None","AGE12",SC046C2,"Panic and buy random things.","None","None",SC046C3O4,"You get home and realize you bought nothing useful.","I10","None"
SC046,"You confidently walk into the grocery store without a list. Five minutes later, you’re lost in the aisles. What now?","None","AGE12",SC046C3,"Call someone to remind you what you needed.","None","None",SC046C4O5,"They answer, and you get exactly what you needed.","I2","None"
SC046,"You confidently walk into the grocery store without a list. Five minutes later, you’re lost in the aisles. What now?","None","AGE12",SC046C3,"Call someone to remind you what you needed.","None","None",SC046C4O6,"No one picks up, and now you’re back to square one.","I13","None"
SC046,"You confidently walk into the grocery store without a list. Five minutes later, you’re lost in the aisles. What now?","None","AGE12",SC046C4,"Abandon the mission and leave with just snacks.","None","None",SC046C5O7,"Dinner is now chips and ice cream. No regrets.","I5","None"
SC046,"You confidently walk into the grocery store without a list. Five minutes later, you’re lost in the aisles. What now?","None","AGE12",SC046C4,"Abandon the mission and leave with just snacks.","None","None",SC046C5O8,"You return home and immediately regret your choices.","I9","None"
SC047,"It’s bedtime, but you tell yourself you’ll stay up for ‘just five more minutes.’ What happens next?","None","AGE12",SC047C1,"Actually go to sleep like a responsible person.","None","None",SC047C2O1,"You wake up refreshed, a true rarity.","I3","None"
SC047,"It’s bedtime, but you tell yourself you’ll stay up for ‘just five more minutes.’ What happens next?","None","AGE12",SC047C1,"Actually go to sleep like a responsible person.","None","None",SC047C2O2,"You fall asleep instantly and wonder why you ever fight sleep.","I6","None"
SC047,"It’s bedtime, but you tell yourself you’ll stay up for ‘just five more minutes.’ What happens next?","None","AGE12",SC047C2,"Get lost in social media for an hour.","None","None",SC047C3O3,"You now know way too much about random internet drama.","I8","None"
SC047,"It’s bedtime, but you tell yourself you’ll stay up for ‘just five more minutes.’ What happens next?","None","AGE12",SC047C2,"Get lost in social media for an hour.","None","None",SC047C3O4,"Suddenly, it’s 3 AM, and you regret everything.","I12","None"
SC047,"It’s bedtime, but you tell yourself you’ll stay up for ‘just five more minutes.’ What happens next?","None","AGE12",SC047C3,"Start a new show, instantly commit to binge-watching.","None","None",SC047C4O5,"You tell yourself ‘just one episode.’ It’s never one episode.","I9","None"
SC047,"It’s bedtime, but you tell yourself you’ll stay up for ‘just five more minutes.’ What happens next?","None","AGE12",SC047C3,"Start a new show, instantly commit to binge-watching.","None","None",SC047C4O6,"The season finale ends, and now the sun is rising.","I14","None"
SC047,"It’s bedtime, but you tell yourself you’ll stay up for ‘just five more minutes.’ What happens next?","None","AGE12",SC047C4,"Decide now is the perfect time for a deep existential crisis.","None","None",SC047C5O7,"You spend an hour thinking about embarrassing childhood moments.","I5","None"
SC047,"It’s bedtime, but you tell yourself you’ll stay up for ‘just five more minutes.’ What happens next?","None","AGE12",SC047C4,"Decide now is the perfect time for a deep existential crisis.","None","None",SC047C5O8,"You suddenly have a life-changing realization… but forget it by morning.","I1","None"
